Topo-0000,"(0.1, 1, 100, 100, 10, 0.1, 1, 100000, 100)",90,89,False,1
Topo-0000,"(0.2, 1, 100, 100, 10, 0.1, 1, 100000, 100)",94,94,False,1
Topo-0000,"(0.3, 1, 100, 100, 10, 0.1, 1, 100000, 100)",96,96,False,1
Topo-0000,"(0.4, 1, 100, 100, 10, 0.1, 1, 100000, 100)",97,97,False,1
Topo-0000,"(0.5, 1, 100, 100, 10, 0.1, 1, 100000, 100)",97,97,False,1
Topo-0000,"(0.6, 1, 100, 100, 10, 0.1, 1, 100000, 100)",98,98,False,1
Topo-0000,"(0.7, 1, 100, 100, 10, 0.1, 1, 100000, 100)",98,98,False,1
Topo-0000,"(0.8, 1, 100, 100, 10, 0.1, 1, 100000, 100)",98,98,False,1
Topo-0000,"(0.9, 1, 100, 100, 10, 0.1, 1, 100000, 100)",98,98,False,1
Topo-0002,"(0.1, 1, 100, 100, 10, 0.1, 1, 100000, 10, 10)",False,False,False
Topo-0002,"(0.2, 1, 100, 100, 10, 0.1, 1, 100000, 10, 10)",False,False,False
Topo-0002,"(0.3, 1, 100, 100, 10, 0.1, 1, 100000, 10, 10)",False,False,False
Topo-0002,"(0.4, 1, 100, 100, 10, 0.1, 1, 100000, 10, 10)",False,False,False
Topo-0002,"(0.5, 1, 100, 100, 10, 0.1, 1, 100000, 10, 10)",False,False,False
Topo-0002,"(0.6, 1, 100, 100, 10, 0.1, 1, 100000, 10, 10)",False,False,False
Topo-0002,"(0.7, 1, 100, 100, 10, 0.1, 1, 100000, 10, 10)",False,False,False
Topo-0002,"(0.8, 1, 100, 100, 10, 0.1, 1, 100000, 10, 10)",False,False,False
Topo-0002,"(0.9, 1, 100, 100, 10, 0.1, 1, 100000, 10, 10)",False,False,False
Topo-0003,"(0.1, 1, 100, 100, 10, 0.1, 100, 100000, 1, 100000, 1)",98,97,False,1
Topo-0003,"(0.2, 1, 100, 100, 10, 0.1, 100, 100000, 1, 100000, 1)",98,98,False,1
Topo-0003,"(0.3, 1, 100, 100, 10, 0.1, 100, 100000, 1, 100000, 1)",98,98,False,1
Topo-0003,"(0.4, 1, 100, 100, 10, 0.1, 100, 100000, 1, 100000, 1)",98,97,False,1
Topo-0003,"(0.5, 1, 100, 100, 10, 0.1, 100, 100000, 1, 100000, 1)",97,97,False,1
Topo-0003,"(0.6, 1, 100, 100, 10, 0.1, 100, 100000, 1, 100000, 1)",97,97,False,1
Topo-0003,"(0.7, 1, 100, 100, 10, 0.1, 100, 100000, 1, 100000, 1)",96,96,False,1
Topo-0003,"(0.8, 1, 100, 100, 10, 0.1, 100, 100000, 1, 100000, 1)",94,94,False,1
Topo-0003,"(0.9, 1, 100, 100, 10, 0.1, 100, 100000, 1, 100000, 1)",90,89,False,1
