efficiency,vout,reward,DC_para,query,efficiency,vout,reward,DC_para,query
0.99,99.0,0.0041734676337375366,0.9,13,0.96,193.0,0.9351092956059129,0.5,15
0.98,98.0,0.0037052938749072843,0.8,9,0.99,99.0,0.0041734676337375366,0.6,15
